playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,2020-04-24,209591970,Put Your Records On,Ritt Momney,,,7MPGCB854Qo4alYMOPkBka,92,bedroom pop,,,76389,0,210463,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0ri0Han4IRJhzvERHOZTMr,At My Worst,2020-07-17,85854233,The Prelude,Pink Sweat$,,,1W7FNibLa0O0b572tB2w7t,88,bedroom soul,pop,,489473,0,170345,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5YSHygGN9D0mID1NsVd5my,Reminds Me Of You,2020-12-08,42487200,Reminds Me Of You,Juice WRLD,The Kid LAROI,,4MCBfE4596Uoi2O4DtmEMz,90,chicago rap,melodic rap,,14784255,1,158033,0.613,0.631,4,-6.965,1,0.12,0.0663,0.0,0.169,0.33,149.992,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,6HlE9t71z9DjGi7KqSyEpA,Deep End,2020-07-31,106687486,Deep End,Fousheé,,,6trIghKwHRUyxwvm66HLHH,89,,,,72550,1,141224,0.711,0.592,4,-7.136,0,0.23,0.758,0.0,0.156,0.535,124.749,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,1bj8x3ERN9gSc2NfJIpc76,pov,2020-10-30,118969236,Positions,Ariana Grande,,,66CXWjxzNUsdJxJ2JdwvnR,81,dance pop,pop,post-teen pop,55807542,0,201882,0.474,0.533,0,-5.648,0,0.0559,0.36,0.0,0.101,0.165,131.762,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,14ngWWxvUSnIMXgF6rzSk1,Head Shoulders Knees & Toes (feat. Norma Jean Martine),2020-05-08,138196426,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,Quarterhead,Norma Jean Martine,4AKwRarlmsUlLjIwt38NLw,83,new french touch,pop dance,tropical house,377686,0,156960,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,2020-07-22,246481439,Take You Dancing,Jason Derulo,,,07YZf4WDAMNwqr4jfgOZ8y,92,dance pop,pop,pop dance,8719933,0,190306,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,2020-07-31,74807061,Más Negro Que Rojo,Boza,,,2NfSBtmWe7oPw1EmetJVso,93,,,,178621,0,186133,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0A1hoCfMLkiAgvhWkkucJa,Body,2020-11-20,64856019,Good News,Megan Thee Stallion,,,181bsRPaVXVlUKXrxwZfHK,90,houston rap,pop,pop rap,3014129,1,171067,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5psEZhQu6lukjhavJo4AbC,SO DONE,2020-10-23,108106123,SO DONE,The Kid LAROI,,,2tIP7SsRs7vjIcLrU85W8J,88,australian hip hop,,,1118444,0,126521,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,2020-11-06,24212261,Remember That Night?,Sara Kays,,,7Lk9V7E1u5gqSHmtcKlOqH,82,modern indie pop,pop,social media pop,162165,0,227186,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,4
