playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mood Booster,Get happy with today's dose of feel-good songs!,6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020-11-06,59907567,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,Justin Bieber,J Balvin,6fWVd57NKTalqvmjRd2t8Z,87,cali rap,,,668595,1,192745,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988,4
Mood Booster,Get happy with today's dose of feel-good songs!,6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),2020-10-30,87618459,Paradise,MEDUZA,Dermot Kennedy,,0xRXCcSX89eobfrshSVdyu,92,edm,pop dance,pop house,359692,0,167903,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4
Mood Booster,Get happy with today's dose of feel-good songs!,5KCbr5ndeby4y4ggthdiAb,Wonder,2020-10-02,188901689,Wonder,Shawn Mendes,,,7n2wHs1TKAczGzO7Dd2rGr,91,canadian pop,dance pop,pop,30819118,0,172693,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,4
Mood Booster,Get happy with today's dose of feel-good songs!,1SySkCqhEG6Z68o2n07Bsr,In Your Eyes (feat. Kenny G) - Remix,2020-10-16,nan,In Your Eyes (Remix),The Weeknd,Kenny G,,1Xyo4u8uXC1ZmMpatF05PJ,73,canadian contemporary r&b,canadian pop,pop,27448629,0,256551,0.606,0.786,7,-3.854,0,0.0366,0.00229,9.46e-05,0.0725,0.525,99.969,4
Mood Booster,Get happy with today's dose of feel-good songs!,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,1977-02-04,589988403,Rumours (Super Deluxe),Fleetwood Mac,,,08GQAI4eElDnROBrJRGE0X,89,album rock,classic rock,mellow gold,5832636,0,257800,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
Mood Booster,Get happy with today's dose of feel-good songs!,2MbgQKWhoii8bqsMBWWWgA,Courage to Change,2020-09-24,30186495,Courage to Change,Sia,,,5WUlDfRSoLAfcVSX1WnrxN,80,australian dance,australian pop,dance pop,18294866,0,292656,0.307,0.606,11,-5.567,0,0.0347,0.0927,0.0,0.357,0.11,78.828,4
Mood Booster,Get happy with today's dose of feel-good songs!,1lwvJQGhdq6Kyr4BBquf23,survivin',2020-09-22,17664682,survivin',Bastille,,,7EQ0qTo7fWT7DPxmxtSYEc,75,metropopolis,modern rock,pop,4591955,0,173206,0.787,0.78,7,-5.023,1,0.129,0.25,0.0,0.0908,0.68,95.035,4
Mood Booster,Get happy with today's dose of feel-good songs!,1fah1uAs7HeTYDlNftKr3K,Put Your Records On,2020-04-24,209591970,Put Your Records On,Ritt Momney,,,7MPGCB854Qo4alYMOPkBka,47,bedroom pop,,,76389,0,210463,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,4
Mood Booster,Get happy with today's dose of feel-good songs!,6Vgtvd7I5yopJdBuxqjBd2,Your Man,2020-09-24,45931202,Nectar,Joji,,,3MZsBdqDrRTJihTHQrO6Dq,76,alternative r&b,viral pop,,3928088,0,163759,0.785,0.818,7,-8.711,1,0.099,0.624,0.149,0.149,0.0503,117.98,4
Mood Booster,Get happy with today's dose of feel-good songs!,0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,2020-09-10,76093531,OK Not To Be OK,Marshmello,Demi Lovato,,64KEffDW9EtZ1y2vBYgq8T,83,brostep,edm,pop,28799301,0,159863,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4
