playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Songs to Sing in the Car,Sing along and enjoy the drive...,6w8pFOKn42O418qwcQElZ3,Waves,2019-03-22,274524967,A Place We Knew,Dean Lewis,,,3QSQFmccmX81fWCUSPTS7y,80,australian pop,pop,,1425905,0,240013,0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2jsmSLoX8y0h6k4YzDCFH1,Nobody To Love - Radio Edit,2014-01-01,115304030,Nobody To Love,Sigma,,,01pKrlgPJhm5dB4lneYAqS,62,dance pop,drum and bass,edm,260531,0,189720,0.441,0.921,8,-3.32,1,0.0436,0.000526,6.34e-06,0.177,0.182,175.001,4
Songs to Sing in the Car,Sing along and enjoy the drive...,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2020-03-20,1837168967,After Hours,The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,99,canadian contemporary r&b,canadian pop,pop,27448629,0,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2hoigtnMAjSejRi1hHk99w,Born To Be Yours,2018-06-15,nan,Born To Be Yours,Kygo,Imagine Dragons,,23fqKkggKUBHNkbKtXEls4,54,edm,pop,pop dance,7060373,0,193321,0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,4
Songs to Sing in the Car,Sing along and enjoy the drive...,02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),2019-06-21,433395957,Late Night Feelings,Mark Ronson,Miley Cyrus,,3hv9jJF3adDNsBSIQDqcjp,66,dance pop,neo soul,pop,878458,0,217099,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,4
Songs to Sing in the Car,Sing along and enjoy the drive...,6sYJuVcEu4gFHmeTLdHzRz,Bittersweet Symphony (feat. Emily Roberts),2019-03-29,76672912,Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,Emily Roberts,,6HQ6vf4AloXyVNdyJhrX1J,71,deep house,deep tropical house,german dance,92481,0,194618,0.676,0.582,9,-7.58,1,0.128,0.221,0.00627,0.515,0.447,124.012,4
Songs to Sing in the Car,Sing along and enjoy the drive...,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,2020-03-27,1273571127,Future Nostalgia,Dua Lipa,,,6M2wZ9GZgrQXHCFfjv46we,87,dance pop,pop,pop dance,21976970,0,183290,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,4
Songs to Sing in the Car,Sing along and enjoy the drive...,22mQXNE0nCuWq4yOwcadIn,Dinero,2018-05-17,nan,Dinero,Jennifer Lopez,DJ Khaled,Cardi B,2DlGxzQSjYe5N6G9nkYghR,64,dance pop,pop,pop dance,9203046,0,213750,0.721,0.881,8,-2.528,1,0.342,0.41,7.61e-06,0.292,0.643,127.759,4
Songs to Sing in the Car,Sing along and enjoy the drive...,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,2018-03-30,712392146,"My Dear Melancholy,",The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,84,canadian contemporary r&b,canadian pop,pop,27448629,0,228373,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,3
Songs to Sing in the Car,Sing along and enjoy the drive...,5qaEfEh1AtSdrdrByCP7qR,Demons,2012-09-04,1098103780,Night Visions,Imagine Dragons,,,53XhwfbYqKCa1cC15pYq2q,82,modern rock,rock,,31919694,0,177507,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,4
Songs to Sing in the Car,Sing along and enjoy the drive...,4BfRDZLIiznSnwU7DdDL9N,Valerie - Version Revisited,2007-06-22,nan,Version,Mark Ronson,Amy Winehouse,,3hv9jJF3adDNsBSIQDqcjp,34,dance pop,neo soul,pop,878458,0,219413,0.698,0.843,1,-4.789,1,0.0544,0.00253,0.000454,0.124,0.894,105.83,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),2019-08-23,nan,Lover,Taylor Swift,Brendon Urie,Panic! At The Disco,06HL4z0CvFAxyc27GXpf02,82,dance pop,pop,,35481046,0,193000,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,4
Songs to Sing in the Car,Sing along and enjoy the drive...,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,2020-03-27,544957363,Future Nostalgia,Dua Lipa,,,6M2wZ9GZgrQXHCFfjv46we,87,dance pop,pop,pop dance,21976970,0,221820,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4
Songs to Sing in the Car,Sing along and enjoy the drive...,0Qh38w01QRXK6KHIv0e3hb,What About Us,2017-10-13,524579619,Beautiful Trauma,P!nk,,,1KCSPY1glIKqW2TotWuXOR,77,dance pop,pop,post-teen pop,10028824,0,269600,0.489,0.588,1,-6.177,1,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617,4
Songs to Sing in the Car,Sing along and enjoy the drive...,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,2016-11-25,nan,Starboy,The Weeknd,Daft Punk,,1Xyo4u8uXC1ZmMpatF05PJ,81,canadian contemporary r&b,canadian pop,pop,27448629,0,269187,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,4
Songs to Sing in the Car,Sing along and enjoy the drive...,0pqnGHJpmpxLKifKRmU6WP,Believer,2017-06-23,1582600514,Evolve,Imagine Dragons,,,53XhwfbYqKCa1cC15pYq2q,89,modern rock,rock,,31919694,0,204347,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4
Songs to Sing in the Car,Sing along and enjoy the drive...,3AzvNvE3xpgelqmE5MRnbI,Take Her Place (feat. A R I Z O N A),2017-10-27,nan,Take Her Place (feat. A R I Z O N A),Don Diablo,A R I Z O N A,,1l2ekx5skC4gJH8djERwh1,59,big room,dance pop,deep big room,1691660,0,209660,0.603,0.744,0,-5.724,1,0.0458,0.279,4.87e-06,0.106,0.605,101.991,4
Songs to Sing in the Car,Sing along and enjoy the drive...,1rqqCSm0Qe4I9rUvWncaom,High Hopes,2018-06-22,984136363,Pray for the Wicked,Panic! At The Disco,,,20JZFwl6HVl6yg8a4H3ZqK,85,baroque pop,emo,modern rock,10313913,0,190947,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4
Songs to Sing in the Car,Sing along and enjoy the drive...,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),2018-04-06,1128871223,One Kiss (with Dua Lipa),Calvin Harris,Dua Lipa,,7CajNmpbOovFoOoasH2HaY,84,dance pop,edm,electro house,21058893,0,214847,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2QrXzOqLCVDRZHkToA0tSR,Never Go Back,2019-02-15,150641614,Never Go Back,Dennis Lloyd,,,3EOEK57CV77D4ovYVcmiyt,70,israeli pop,,,505853,0,175424,0.421,0.653,9,-4.85,0,0.398,0.0135,0.0,0.114,0.733,78.6,4
Songs to Sing in the Car,Sing along and enjoy the drive...,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,2020-03-20,403576661,After Hours,The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,88,canadian contemporary r&b,canadian pop,pop,27448629,1,237520,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4
